Date,Description,Comments,Check Number,Amount,Balance
03/22/2023,External Withdrawal - ONLINE PMT,,,"-$1,013.14",$8058.66
03/15/2023,NOW Deposit  Zelle From MICHAEL GIL +1-800-255-0234,,,$200.00,$9071.80
03/12/2023,Electronic Check Accounts Receivable Entry SERIAL #: 3467,,,-$160.00,$8871.80
03/10/2023,"External Deposit SOME COMPANY, INC PP - DIRECT DEP",,,"$2,674.12",$9031.80
03/10/2023,Check x5042,,95042,"-$2,000.00",$6357.68
03/06/2023,External Withdrawal TELECHK 800-697-9263 - PAYMENT,,,-$463.82,$8357.68
03/05/2023,External Deposit SOME COMPANY x6186        RT - DIRECT DEP,,,"$2,450.52",$8821.50
03/02/2023,External Withdrawal SOME PAYEE  - CONS COLL,,,-$75.00,$6370.98
03/02/2023,External Withdrawal SOME PAYEE - INS.PREM,,,-$24.51,$6445.98
03/02/2023,External Withdrawal SOME PAYEE - INS.PREM,,,-$68.91,$6470.49
02/28/2023,Check 2296,,4536,-$140.50,$6539.40
02/28/2023,External Deposit WEB - HSA Reimbursement Payment,,,$150.00,$6679.90
02/28/2023,"External Deposit SOME COMPANY, INC PP - DIRECT DEP",,,"$2,844.01",$6529.90
